,compound,formation_energy
0,Ca1O1F2Cs6,-7.110018329999997
1,Mg1S1Al2In6,4.713585712500002
2,Cs1Te1S2Si6,18.374580128333342
3,Be1Si1Tl2H6,4.612162200000004
4,Mg1O1F2Ca6,-7.145499650000005
5,Na1Ga1Li2O6,-4.553407099999987
6,Ga1In1Ge2Sb6,7.645518100000004
7,Mg1Cl1Sr2Na6,-1.8324454499999998
8,Ge1Li1Cs2P6,5.777788906666672
9,Cs1I1Bi2Ca6,3.1190918699999983
10,Se1N1Ca2C6,23.537676383333334
11,H1F1O2Tl6,-0.5696327250000017
12,K1Ge1Mg2Ba6,2.402572299999999
13,Cs1Sr1P2N6,29.823733469999993
14,B1S1Ge2C6,24.566367579166673
15,Be1Ga1Cs2Ba6,1.5580385400000054
16,As1O1Li2Be6,3.0497290833333395
17,Si1Li1N2Mg6,10.90595136666667
18,Se1Be1Sb2I6,3.8749662333333355
19,Be1Al1K2Bi6,1.481895900000005
20,Te1Rb1P2S6,11.650928238333332
21,C1Ge1S2Al6,4.607001525000008
22,F1Al1Sn2Ba6,-6.088480624999999
23,Ge1Se1Sn2Pb6,3.9089018333333314
24,Cs1O1Ba2N6,17.83064666999998
25,Be1As1Li2Pb6,3.8431444833333366
26,Ca1F1Ba2As6,-2.669423425000005
27,Sb1Sr1B2Si6,22.42822538333333
28,Mg1Ga1P2Cs6,5.513730919999999
29,Na1K1Tl2Cl6,-8.370211633333334
30,B1O1Ca2Bi6,-1.151631133333339
31,Ge1S1Se2B6,17.34667377916667
32,Pb1H1Ca2Be6,3.1199085999999987
33,Bi1Br1As2O6,3.586926599999998
34,I1N1Te2Be6,4.9905754166666725
35,Be1Ge1H2Ga6,6.7666158
36,Se1In1Tl2I6,-3.003874866666667
37,Sn1F1I2O6,5.583588125000006
38,Bi1F1Sr2K6,-4.460037824999999
39,B1Na1Cs2I6,-5.915224226666663
40,Si1N1B2Sb6,14.285306683333324
41,Mg1Sn1Cs2Al6,6.329138889999999
42,Mg1Bi1Pb2Sr6,-0.40437140000000227
43,B1Rb1Ge2Al6,9.274576996666667
44,H1Ge1Ba2Pb6,-0.9964409000000032
45,Sb1B1Pb2Si6,7.515370616666672
46,S1Br1Sr2Pb6,-0.7676803874999969
47,Ca1N1Ge2I6,5.179684949999999
48,O1Se1Br2Pb6,-1.6743712666666681
49,Pb1Be1Mg2As6,5.537410200000004
50,Be1Ge1I2O6,-4.631096399999997
51,S1As1O2Bi6,8.745547662499995
52,Cs1As1Te2Rb6,-1.9797374333333373
53,Cs1B1Sb2Al6,7.671839736666669
54,I1Br1Sr2S6,-2.289868924999997
55,B1In1Ca2H6,0.6860788666666693
56,K1Te1Pb2Al6,9.678297833333332
57,Mg1Br1Ca2S6,-3.2314724249999998
58,Te1Se1Be2Si6,16.659121066666675
59,H1In1Na2O6,-1.089472966666662
60,Pb1S1As2Mg6,0.35126751250000154
61,Se1Li1Si2Al6,7.044530000000005
62,Ga1F1S2Na6,-6.5429607999999995
63,O1N1H2Tl6,6.08833525
64,Ca1Mg1Cs2Sb6,0.8477973400000032
65,H1S1B2Ga6,9.930143145833338
66,I1P1Tl2Se6,2.3179021499999983
67,Li1Be1Sb2Na6,3.469931966666671
68,I1F1Al2In6,1.9947796750000037
69,Sr1Ga1Be2Te6,8.170991100000002
70,Si1Cl1Te2S6,6.261093491666664
71,Sb1Ga1Ba2K6,1.0513307500000018
72,Tl1Ca1Sr2F6,-27.68161235
73,Cs1Cl1F2Al6,6.919448269999997
74,Al1Cl1O2Be6,13.969070050000003
75,P1Ga1K2Na6,-0.7025967500000014
76,Tl1Br1Ga2N6,23.71329769999999
77,O1Cl1Br2Al6,1.1438413500000024
78,O1Br1Bi2Cl6,3.522372399999991
79,Na1F1I2Al6,3.8217847416666615
80,Ba1Rb1Ge2H6,9.454311230000005
81,Cs1N1Ba2C6,22.93396302
82,Sr1As1Ge2Al6,9.045396450000002
83,Sn1Cl1Li2H6,3.1348012333333344
84,Si1Sn1Sr2H6,-0.05342964999999111
85,O1Ga1H2Ba6,-1.1712026000000044
86,O1Rb1Br2Tl6,-2.4079446700000027
87,Pb1Na1Cs2Tl6,0.7083118066666678
88,Sr1Tl1Ge2In6,7.536069800000007
89,Sr1Ba1K2Pb6,4.084983799999996
90,Ge1Ba1Sr2F6,-24.52447805
91,Ga1Br1Mg2S6,3.556274574999996
92,C1Sn1Cs2Br6,-5.436035409999995
93,Na1K1Cs2H6,2.8793158066666713
94,Sr1Sn1I2N6,19.113251549999994
95,C1Rb1F2Ge6,3.2323151800000005
96,O1K1Rb2Br6,-6.423459839999996
97,Mg1C1K2Sn6,3.9858278000000027
98,Pb1H1Cs2Te6,0.1588297400000016
99,P1Tl1K2As6,4.0817584500000095
100,Tl1Ca1Br2Te6,4.0765126000000045
101,Sr1F1Li2In6,-0.06681739166666745
102,S1Cl1Mg2N6,16.978045562499993
103,Cs1Al1Ca2Sr6,3.5834478699999988
